web-scraper-order,web-scraper-start-url,app,app-href,title,developer-link,developer,developer-website,faq-link,app-category,rating,reviews,image-src
"1586369128-3610","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=1&pricing=all&requirements=off&sort_by=installed","Order Printer","https://apps.shopify.com/order-printer?surface_detail=all&surface_inter_position=1&surface_intra_position=10&surface_type=category","Order Printer","https://apps.shopify.com/partners/shopify","Shopify","https://shopify.com","https://help.shopify.com/manual/apps/apps-by-shopify/order-printer","Orders and shipping","3.7 of 5 stars","(693 reviews)","https://apps.shopifycdn.com/listing_images/86ba59615730a0f83ddd94b8d96d470c/icon/caab2fae2b189238d67de1faf239d5d9.png?height=84&width=84"
"1586362001-1490","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=89&pricing=all&requirements=off&sort_by=installed","SourceKnowledge Shopping Ads","https://apps.shopify.com/sourceknowledge-shopping?surface_detail=all&surface_inter_position=89&surface_intra_position=18&surface_type=category","SourceKnowledge Shopping Ads","https://apps.shopify.com/partners/sourceknowledge2","SourceKnowledge","http://www.sourceknowledge.com","http://www.sourceknowledge.com/help","Marketing","3.7 of 5 stars","(3 reviews)","https://apps.shopifycdn.com/listing_images/201bde404fa0f595b7eebe6bae8b4ba0/icon/bfa467ab2bd7f2b3080300a99ada3cdf.png?height=84&width=84"
"1586367442-2841","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=33&pricing=all&requirements=off&sort_by=installed","EZ Exporter ‑ Data Exports","https://apps.shopify.com/ez-exporter?surface_detail=all&surface_inter_position=33&surface_intra_position=11&surface_type=category","EZ Exporter ‑ Data Exports","https://apps.shopify.com/partners/highview-apps","Highview Apps LLC","https://www.highviewapps.com/","https://www.highviewapps.com/kb/apps/ez-exporter/","Reporting","4.9 of 5 stars","(55 reviews)","https://apps.shopifycdn.com/listing_images/4ed051b96fdd5f00bd1bef36ea0be03c/icon/87082d48b98512bf8c7bc04f46b1d7d4.jpg?height=84&quality=90&width=84"
"1586361839-1415","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=92&pricing=all&requirements=off&sort_by=installed","Merch.Music","https://apps.shopify.com/merch-music-2?surface_detail=all&surface_inter_position=92&surface_intra_position=21&surface_type=category","Merch.Music","https://apps.shopify.com/partners/helloprint","Merch.Music","https://www.merch-music.com/privacy-policy.html","https://www.merch-music.com","Finding and adding products","4.0 of 5 stars","(1 review)","https://apps.shopifycdn.com/listing_images/8992e076dac453be8bb45dc9fa95d5c7/icon/4dd0ba1a660ff1e5d85ea864e5205619.png?height=84&width=84"
"1586369062-3579","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=2&pricing=all&requirements=off&sort_by=installed","Quick Announcement Bar","https://apps.shopify.com/quick-announcement-bar-always-keep-your-customers-informed?surface_detail=all&surface_inter_position=2&surface_intra_position=17&surface_type=category","Quick Announcement Bar","https://apps.shopify.com/partners/hextom","Hextom","https://hextom.com/ht_pp","https://hextom.com","Store design","4.9 of 5 stars","(4486 reviews)","https://apps.shopifycdn.com/listing_images/77da3bf776c31b1a438e4851b50758bb/icon/82be823ba7f1ec624a209c6fd622f23d.png?height=84&width=84"
"1586365176-1903","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=72&pricing=all&requirements=off&sort_by=installed","SEOMetriks Marketing Tools","https://apps.shopify.com/seometriks?surface_detail=all&surface_inter_position=72&surface_intra_position=13&surface_type=category","SEOMetriks Marketing Tools","https://apps.shopify.com/partners/exen","EXEN LABS","https://www.seometriks.com","https://www.seometriks.com","Marketing","4.7 of 5 stars","(20 reviews)","https://apps.shopifycdn.com/listing_images/b5c77acfd50ae70133e53a9e33eaaa65/icon/80d64da7f39785fbfc6629370aebc64b.png?height=84&width=84"
"1586368497-3323","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=13&pricing=all&requirements=off&sort_by=installed","Instagram Feed & Slider Pro","https://apps.shopify.com/instagram-feed-pro?surface_detail=all&surface_inter_position=13&surface_intra_position=9&surface_type=category","Instagram Feed & Slider Pro","https://apps.shopify.com/partners/raptor-media","Raptor","null","https://www.theraptormedia.com/privacy-policy.html","Store design","5.0 of 5 stars","(182 reviews)","https://apps.shopifycdn.com/listing_images/82e23b4aea83417e25dc79dc1a2285e1/icon/2958029e67c6238798e3da918d86bbcc.png?height=84&width=84"
"1586367498-2867","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=32&pricing=all&requirements=off&sort_by=installed","Beauty Clout","https://apps.shopify.com/beauty-clout?surface_detail=all&surface_inter_position=32&surface_intra_position=9&surface_type=category","Beauty Clout","https://apps.shopify.com/partners/dropship-hair-app","Dropship Beauty","https://www.beautyclout.com/privacy/","https://www.BeautyClout.com","Marketing","3.7 of 5 stars","(7 reviews)","https://apps.shopifycdn.com/listing_images/45f953f907bdd9c4cce1414048141c21/icon/f75886a5dd5bc7e85f59342f3f10ea0e.jpg?height=84&quality=90&width=84"
"1586368379-3268","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=15&pricing=all&requirements=off&sort_by=installed","Smart Tags","https://apps.shopify.com/smart-tags?surface_detail=all&surface_inter_position=15&surface_intra_position=16&surface_type=category","Smart Tags","https://apps.shopify.com/partners/wehavefaces","wehavefaces","https://www.smart-tags-app.com/","https://help.smart-tags-app.com/","Orders and shipping","4.4 of 5 stars","(52 reviews)","https://apps.shopifycdn.com/listing_images/32e7ecb4af44b8a1622368909b34002c/icon/056c1df8071ee00daec87e7866d1d9c7.png?height=84&width=84"
"1586361941-1462","https://apps.shopify.com/browse/all?app_integration_kit=off&app_integration_pos=off&page=90&pricing=all&requirements=off&sort_by=installed","Antram Sale Price Adjuster Pro","https://apps.shopify.com/antram-sale-price-adjuster-pro?surface_detail=all&surface_inter_position=90&surface_intra_position=22&surface_type=category","Antram Sale Price Adjuster Pro","https://apps.shopify.com/partners/antram-technologies","Antram Technologies","https://salepricepro.antram.com/privacy","https://antram.com","Marketing","null","null","https://apps.shopifycdn.com/listing_images/095825d9c9200b01c84e6b3ddc7b797c/icon/7592a01dff8d35a1305148b872757da7.png?height=84&width=84"
